,id,listing_url,name,host_id,host_name,host_location,street,neighbourhood,city,state,zipcode,country,latitude,longitude,is_location_exact,room_type,accommodates,beds,bed_type,price,weekly_price,guests_included,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1161,1563934,https://www.airbnb.com/rooms/1563934,COSY FLAT IN TRENDY NØRREBRO,8320552,Astrid,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Nørrebro,Copenhagen,Capital region of denmark,2200,Denmark,55.6946,12.54899,t,Entire home/apt,4,4.0,Real Bed,898.0,-1.0,2,2,1125,t,0,25,13,95.0,10.0,9.0,10.0,10.0,10.0,9.0
1162,1563995,https://www.airbnb.com/rooms/1563995,3 room flat w/balcony VESTERBRO,8272800,Mathias,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Vesterbro,Copenhagen,Capital region of denmark,1725,Denmark,55.66647,12.55459,t,Entire home/apt,4,4.0,Real Bed,1401.0,-1.0,4,1,1120,t,0,84,17,90.0,9.0,9.0,10.0,10.0,10.0,9.0
1163,1564400,https://www.airbnb.com/rooms/1564400,70m² apartment on Nørrebro,8322460,Anders,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Nørrebro,Copenhagen,Capital region of denmark,2200,Denmark,55.699690000000004,12.5465,t,Entire home/apt,4,3.0,Real Bed,751.0,-1.0,4,2,1125,t,0,49,3,88.0,9.0,8.0,9.0,10.0,9.0,9.0
1164,1567380,https://www.airbnb.com/rooms/1567380,"Amazing Penthouse in ""latin quarters"" Nørrebro",8337439,Jacob,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Nørrebro,Copenhagen,Capital region of denmark,2200,Denmark,55.69195,12.553460000000001,t,Entire home/apt,4,2.0,Real Bed,2198.0,-1.0,2,3,1125,t,185,3,1,100.0,10.0,10.0,10.0,10.0,10.0,8.0
1165,1571939,https://www.airbnb.com/rooms/1571939,Super hyggeligt på Christianshavn. ,8357861,Rolf,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Indre By,Copenhagen,Capital region of denmark,1422,Denmark,55.67125,12.5911,t,Entire home/apt,5,1.0,Real Bed,1253.0,6599.0,1,1,1125,t,365,29,0,90.0,9.0,9.0,10.0,10.0,10.0,9.0
1166,1577506,https://www.airbnb.com/rooms/1577506,privat room in a nice area.,7429725,Charlotte,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Østerbro,Copenhagen,Capital region of denmark,2100,Denmark,55.70243000000001,12.58464,f,Private room,1,1.0,Real Bed,302.0,-1.0,1,10,21,t,339,79,3,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1167,1577888,https://www.airbnb.com/rooms/1577888,"Cozy, bright flat + WIFI + bikes.",8386802,Lykke,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Christianshavn,Copenhagen,Capital region of denmark,1415,Denmark,55.66972,12.5885,f,Entire home/apt,2,1.0,Real Bed,737.0,-1.0,1,2,1125,t,214,152,31,96.0,10.0,10.0,10.0,10.0,10.0,10.0
1168,1580382,https://www.airbnb.com/rooms/1580382,Charming apartment by the lakes,8406306,Amanda,"Copenhagen, Capital Region of Denmark, Denmark","København N, København, Denmark",Nørrebro,København n,København,2200,Denmark,55.69095,12.564219999999999,t,Entire home/apt,4,2.0,Real Bed,831.0,3000.0,2,2,1125,t,1,41,14,95.0,10.0,9.0,10.0,10.0,10.0,9.0
1169,1581261,https://www.airbnb.com/rooms/1581261,Cool Loft apartment with charm,7934277,Florence,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",København NV,Copenhagen,Capital region of denmark,2400,Denmark,55.70859,12.538219999999999,f,Entire home/apt,6,3.0,Real Bed,1199.0,5500.0,6,3,11,t,37,4,0,85.0,10.0,9.0,10.0,10.0,8.0,10.0
1170,1582606,https://www.airbnb.com/rooms/1582606,Family friendly apart. in Vesterbro,7134300,Tea,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Kødbyen,Copenhagen,Capital region of denmark,1700,Denmark,55.669140000000006,12.55981,t,Entire home/apt,4,4.0,Real Bed,1199.0,4000.0,2,2,100,t,0,5,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0
